Scenario ID,Scenario,Best Method,Retention,Max |SMD|,Meets Threshold
1,"n=500, prev=0.3, high, weak",No Caliper,1.000,0.097,Yes
2,"n=500, prev=0.3, high, strong",No Caliper,1.000,0.098,Yes
3,"n=500, prev=0.3, medium, weak",ACS-Balance,0.874,0.096,Yes
4,"n=500, prev=0.3, medium, strong",ACS-Balance,0.876,0.095,Yes
5,"n=500, prev=0.3, low, weak",None,0.000,0.100,No
6,"n=500, prev=0.3, low, strong",ACS-Balance,0.684,0.099,Yes
7,"n=500, prev=0.5, high, weak",ACS-Weighted,0.866,0.098,Yes
8,"n=500, prev=0.5, high, strong",ACS-Balance,0.847,0.088,Yes
9,"n=500, prev=0.5, medium, weak",ACS-Balance,0.664,0.091,Yes
10,"n=500, prev=0.5, medium, strong",ACS-Balance,0.661,0.091,Yes
11,"n=500, prev=0.5, low, weak",ACS-Balance,0.493,0.095,Yes
12,"n=500, prev=0.5, low, strong",ACS-Balance,0.495,0.095,Yes
13,"n=500, prev=0.7, high, weak",ACS-Balance,0.967,0.088,Yes
14,"n=500, prev=0.7, high, strong",ACS-Knee,0.978,0.099,Yes
15,"n=500, prev=0.7, medium, weak",ACS-Balance,0.844,0.093,Yes
16,"n=500, prev=0.7, medium, strong",ACS-Balance,0.840,0.093,Yes
17,"n=500, prev=0.7, low, weak",ACS-Balance,0.661,0.100,Yes
18,"n=500, prev=0.7, low, strong",None,0.000,0.101,No
19,"n=1000, prev=0.3, high, weak",No Caliper,1.000,0.070,Yes
20,"n=1000, prev=0.3, high, strong",No Caliper,1.000,0.069,Yes
21,"n=1000, prev=0.3, medium, weak",ACS-Weighted,0.921,0.090,Yes
22,"n=1000, prev=0.3, medium, strong",ACS-Weighted,0.919,0.089,Yes
23,"n=1000, prev=0.3, low, weak",ACS-Balance,0.711,0.092,Yes
24,"n=1000, prev=0.3, low, strong",ACS-Balance,0.711,0.092,Yes
25,"n=1000, prev=0.5, high, weak",ACS-Weighted,0.858,0.082,Yes
26,"n=1000, prev=0.5, high, strong",ACS-Weighted,0.860,0.083,Yes
27,"n=1000, prev=0.5, medium, weak",ACS-Balance,0.678,0.090,Yes
28,"n=1000, prev=0.5, medium, strong",ACS-Balance,0.679,0.090,Yes
29,"n=1000, prev=0.5, low, weak",ACS-Balance,0.510,0.090,Yes
30,"n=1000, prev=0.5, low, strong",ACS-Balance,0.509,0.090,Yes
31,"n=1000, prev=0.7, high, weak",ACS-Weighted,0.989,0.088,Yes
32,"n=1000, prev=0.7, high, strong",ACS-Weighted,0.988,0.087,Yes
33,"n=1000, prev=0.7, medium, weak",Fixed-0.5,0.871,0.099,Yes
34,"n=1000, prev=0.7, medium, strong",Fixed-0.5,0.869,0.098,Yes
35,"n=1000, prev=0.7, low, weak",ACS-Balance,0.685,0.092,Yes
36,"n=1000, prev=0.7, low, strong",ACS-Balance,0.684,0.092,Yes
37,"n=2000, prev=0.3, high, weak",No Caliper,1.000,0.052,Yes
38,"n=2000, prev=0.3, high, strong",No Caliper,1.000,0.050,Yes
39,"n=2000, prev=0.3, medium, weak",ACS-Balance,0.927,0.088,Yes
40,"n=2000, prev=0.3, medium, strong",ACS-Balance,0.929,0.087,Yes
41,"n=2000, prev=0.3, low, weak",ACS-Balance,0.740,0.090,Yes
42,"n=2000, prev=0.3, low, strong",ACS-Balance,0.738,0.090,Yes
43,"n=2000, prev=0.5, high, weak",ACS-Balance,0.858,0.081,Yes
44,"n=2000, prev=0.5, high, strong",ACS-Balance,0.858,0.081,Yes
45,"n=2000, prev=0.5, medium, weak",ACS-Balance,0.690,0.091,Yes
46,"n=2000, prev=0.5, medium, strong",ACS-Balance,0.689,0.091,Yes
47,"n=2000, prev=0.5, low, weak",ACS-Balance,0.523,0.090,Yes
48,"n=2000, prev=0.5, low, strong",ACS-Balance,0.522,0.089,Yes
49,"n=2000, prev=0.7, high, weak",ACS-Balance,0.993,0.087,Yes
50,"n=2000, prev=0.7, high, strong",ACS-Balance,0.993,0.087,Yes
51,"n=2000, prev=0.7, medium, weak",ACS-Balance,0.884,0.090,Yes
52,"n=2000, prev=0.7, medium, strong",ACS-Balance,0.884,0.090,Yes
53,"n=2000, prev=0.7, low, weak",ACS-Balance,0.705,0.091,Yes
54,"n=2000, prev=0.7, low, strong",ACS-Balance,0.705,0.090,Yes
